,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
1997-07-21,1215.839,1218.481,1188.875,1193.525,494028000.0,5993836495.0
1997-07-22,1189.118,1208.262,1163.468,1208.248,455263000.0,5444710930.0
1997-07-23,1219.055,1223.823,1194.703,1198.861,480842400.0,5461629605.0
1997-07-24,1194.705,1200.309,1172.367,1174.217,332595700.0,3820911120.0
1997-07-25,1166.566,1177.653,1158.136,1170.862,311225300.0,3445143129.0
1997-07-28,1167.813,1167.88,1138.475,1141.777,305953800.0,3327072564.0
1997-07-29,1137.319,1161.195,1133.175,1153.229,303311300.0,2967735299.0
1997-07-30,1157.09,1179.478,1157.004,1179.421,365235100.0,3508086372.0
1997-07-31,1184.937,1192.2,1179.715,1189.76,376326600.0,3644509059.0
1997-08-01,1191.651,1194.031,1182.223,1192.828,328647800.0,3105525866.0
1997-08-04,1196.254,1201.92,1188.676,1200.333,432669100.0,4201353893.0
1997-08-05,1203.358,1207.228,1193.696,1196.274,359745700.0,3481090272.0
1997-08-06,1196.035,1197.445,1170.267,1171.941,297232100.0,2869078854.0
1997-08-07,1167.927,1199.24,1161.632,1199.24,344869900.0,3132656718.0
1997-08-08,1205.952,1216.561,1201.358,1206.053,703374100.0,5940437137.0
1997-08-11,1206.456,1206.759,1182.447,1184.083,503650800.0,4929063192.0
1997-08-12,1177.261,1183.436,1145.748,1146.809,393690100.0,3871581722.0
1997-08-13,1139.246,1153.495,1118.202,1120.127,346081500.0,3209822077.0
1997-08-14,1120.471,1168.335,1120.245,1168.113,395297100.0,3598623074.0
1997-08-15,1174.183,1174.882,1133.89,1143.064,476761400.0,3827543720.0
1997-08-18,1139.606,1139.606,1116.148,1134.634,335746400.0,2998716265.0
1997-08-19,1134.617,1143.201,1128.109,1132.905,257198100.0,2344032120.0
1997-08-20,1135.05,1144.646,1133.742,1144.639,250738300.0,2295861784.0
1997-08-21,1148.387,1165.218,1147.816,1164.545,400722400.0,3786447335.0
1997-08-22,1159.386,1174.486,1156.826,1171.833,433739900.0,3976633078.0
1997-08-25,1175.445,1184.334,1175.384,1184.096,453960300.0,4315869639.0
1997-08-26,1186.069,1194.131,1181.243,1194.043,554979200.0,5340460125.0
1997-08-27,1195.428,1199.474,1188.331,1198.513,543372000.0,4741972767.0
1997-08-28,1201.059,1216.076,1194.675,1213.892,694265700.0,6013709329.0
1997-08-29,1214.31,1223.071,1209.479,1221.064,731864300.0,6150700046.0
1997-09-01,1224.177,1230.066,1219.101,1229.865,679821600.0,5991917007.0
1997-09-02,1228.475,1232.691,1215.922,1226.303,589620600.0,5091316153.0
1997-09-03,1223.621,1243.326,1223.461,1240.82,575803800.0,5352405958.0
1997-09-04,1245.775,1253.153,1245.64,1251.298,544704900.0,5370932464.0
1997-09-05,1250.604,1253.35,1241.217,1251.55,472278000.0,4392509897.0
1997-09-08,1253.145,1257.549,1245.744,1255.229,548425400.0,4763892023.0
1997-09-09,1255.181,1257.927,1230.442,1231.027,454445300.0,4003547424.0
1997-09-10,1230.426,1256.041,1227.643,1256.041,539072300.0,4406576038.0
1997-09-11,1260.519,1264.489,1236.113,1242.713,713364100.0,5885819611.0
1997-09-12,1240.496,1247.908,1207.831,1208.697,431066600.0,3565977159.0
1997-09-15,1205.901,1211.684,1175.948,1179.286,357837300.0,3010796335.0
1997-09-16,1182.757,1193.847,1181.169,1187.22,265195400.0,2091516325.0
1997-09-17,1188.885,1191.295,1162.243,1167.557,242595300.0,1907661231.0
1997-09-18,1169.67,1181.748,1164.645,1172.366,230095600.0,1907744958.0
1997-09-19,1174.769,1185.09,1168.869,1184.521,201843700.0,1728449705.0
1997-09-22,1184.493,1185.1,1102.617,1103.974,306264300.0,2424971009.0
1997-09-23,1096.187,1105.282,1025.13,1041.965,429958900.0,3016465008.0
1997-09-24,1064.661,1110.107,1064.661,1110.012,496402700.0,4005446058.0
1997-09-25,1118.369,1130.126,1106.246,1117.01,433633300.0,3508322139.0
1997-09-26,1118.69,1118.941,1094.424,1109.634,274170600.0,2176719124.0
1997-09-29,1106.342,1106.342,1079.34,1084.072,243615400.0,2035517278.0
1997-09-30,1083.414,1100.386,1083.232,1097.383,204530000.0,1663258030.0
1997-10-06,1100.7,1105.411,1091.152,1098.903,156593300.0,1229231713.0
1997-10-07,1098.294,1102.712,1087.018,1102.573,176238400.0,1200352148.0
1997-10-08,1122.968,1140.937,1116.713,1134.868,293382300.0,2243619380.0
1997-10-09,1134.591,1138.657,1120.088,1122.466,202503100.0,1541477478.0
1997-10-10,1121.338,1131.57,1120.513,1130.785,195193100.0,1501252182.0
1997-10-13,1136.429,1138.401,1117.389,1119.817,189929300.0,1457219721.0
1997-10-14,1116.299,1118.022,1105.704,1117.928,153806000.0,1150947811.0
1997-10-15,1119.108,1129.654,1116.429,1125.782,214522800.0,1749252223.0
1997-10-16,1131.4,1151.394,1131.394,1150.307,338623400.0,3291869711.0
1997-10-17,1155.422,1180.218,1153.896,1176.489,459994200.0,4774029932.0
1997-10-20,1183.744,1191.04,1173.557,1187.368,460895600.0,4829096345.0
1997-10-21,1190.495,1192.34,1179.574,1191.87,423214600.0,4282884661.0000005
1997-10-22,1193.701,1203.018,1168.451,1177.52,608287100.0,6653317309.0
1997-10-23,1178.983,1186.067,1170.232,1173.364,415478700.0,4283534503.9999995
1997-10-24,1172.884,1179.805,1164.064,1178.306,377592200.0,3588265406.0
1997-10-27,1183.647,1235.945,1183.647,1235.827,656390300.0,6914509212.0
1997-10-28,1239.585,1241.833,1172.892,1177.924,524823900.0,5535180232.0
1997-10-29,1168.225,1188.797,1162.981,1184.086,359100300.0,3588121573.0
1997-10-30,1189.265,1207.97,1173.649,1174.846,481737800.0,5026978661.0
1997-10-31,1164.913,1181.506,1158.736,1180.393,305033800.0,2911499596.0
1997-11-03,1181.162,1185.069,1176.547,1180.854,256218200.0,2485202511.0
1997-11-04,1180.865,1190.471,1180.865,1184.7,236232800.0,2209279429.0
1997-11-05,1186.095,1194.673,1179.351,1194.038,491968000.0,4369456427.0
1997-11-06,1198.658,1203.086,1179.582,1181.123,428156100.0,4356875215.0
1997-11-07,1181.776,1195.74,1177.632,1195.141,362750100.0,3603232263.0
1997-11-10,1199.368,1202.579,1178.631,1185.784,399657400.0,4219254250.0
1997-11-11,1183.418,1187.744,1168.482,1186.634,299653700.0,2992529261.0
1997-11-12,1190.014,1193.531,1171.563,1174.189,294910300.0,2883434852.0
1997-11-13,1169.704,1185.282,1157.294,1185.024,298194600.0,2927517976.0
1997-11-14,1187.351,1208.842,1181.687,1197.832,389376600.0,3854694278.0
1997-11-17,1210.677,1213.228,1190.431,1191.333,272294300.0,2651546781.0
1997-11-18,1190.261,1193.311,1182.607,1183.349,256370500.0,2459010262.0
1997-11-19,1185.103,1191.964,1175.783,1181.627,265686000.0,2347195425.0
1997-11-20,1182.739,1189.495,1169.097,1172.427,324575100.0,2811422576.0
1997-11-21,1168.968,1169.105,1152.008,1158.555,292730100.0,2736144186.0
1997-11-24,1150.416,1150.563,1122.935,1124.941,296675400.0,2616503896.0
1997-11-25,1120.864,1131.127,1114.138,1125.528,358424300.0,3562739468.0
1997-11-26,1126.596,1143.818,1124.477,1143.818,234727800.0,2070071902.0
1997-11-27,1141.77,1141.971,1120.519,1122.516,251261900.0,2287806617.0
1997-11-28,1117.569,1139.641,1114.433,1139.628,265787000.0,2630263405.0
1997-12-01,1137.588,1139.293,1130.449,1133.087,231287500.0,2348490700.0
1997-12-02,1133.59,1139.604,1128.5,1130.167,187537400.0,1777467056.0
1997-12-03,1129.777,1130.318,1121.593,1122.546,191799300.0,1790538490.0
1997-12-04,1121.803,1137.013,1119.201,1135.873,229065800.0,2269438208.0
1997-12-05,1139.477,1144.222,1134.932,1136.204,239665200.0,2269563205.0
1997-12-08,1140.547,1143.08,1136.579,1139.364,209640300.0,1934358800.0
1997-12-09,1139.806,1148.171,1137.317,1148.171,214626700.0,2082659540.0
1997-12-10,1150.476,1158.989,1149.332,1157.842,236871600.0,2269650854.0
1997-12-11,1159.054,1159.753,1145.546,1159.169,231763600.0,2515715956.0
1997-12-12,1160.221,1165.813,1153.432,1153.84,257110100.0,2832869574.0
1997-12-15,1155.72,1168.056,1155.604,1168.026,316617600.0,3320915175.0
1997-12-16,1170.462,1174.807,1165.601,1174.802,333919400.0,3758268443.0
1997-12-17,1169.644,1169.737,1145.891,1146.522,332345800.0,3647475060.0
1997-12-18,1142.1,1159.111,1138.398,1154.166,304900900.0,3185970785.0
1997-12-19,1154.703,1161.879,1151.141,1160.768,324467000.0,3346951306.0
1997-12-22,1162.682,1169.029,1153.44,1169.007,423341500.0,4923252320.0
1997-12-23,1171.902,1176.922,1165.057,1171.254,331363400.0,3795481360.0
1997-12-24,1171.735,1173.54,1164.858,1169.664,317898800.0,3355946084.0
1997-12-25,1170.561,1181.479,1169.993,1181.278,359840100.0,4117566311.0
1997-12-26,1187.752,1194.237,1186.527,1191.919,419291800.0,4857847462.0
1997-12-29,1196.297,1198.974,1185.656,1186.606,367021000.0,3902572238.0
1997-12-30,1186.139,1193.622,1179.556,1181.143,279294000.0,2955963873.0
1997-12-31,1182.253,1195.047,1182.247,1194.102,309325000.0,3585277014.0
1998-01-05,1200.948,1220.495,1200.222,1220.473,437153200.0,5363527591.0
1998-01-06,1223.73,1233.635,1215.409,1233.62,514866400.0,6196189071.0
1998-01-07,1233.956,1244.098,1231.146,1244.07,575655700.0,6276869435.0
1998-01-08,1243.121,1250.005,1235.885,1237.164,406947200.0,4535351177.0
1998-01-09,1233.701,1244.999,1221.297,1239.901,535709600.0,6395907455.0
1998-01-12,1242.21,1246.651,1226.397,1226.966,573968900.0,6646772084.0
1998-01-13,1211.883,1211.883,1110.087,1167.647,719443500.0,8983543992.0
1998-01-14,1170.346,1203.247,1170.322,1202.215,570380000.0,6237845479.0
1998-01-15,1210.421,1217.864,1196.148,1215.431,553925500.0,5643742275.0
1998-01-16,1215.82,1220.974,1207.919,1213.962,412032600.0,4534913232.0
1998-01-19,1215.408,1216.987,1205.479,1213.129,326203800.0,3662318127.0
1998-01-20,1211.276,1215.57,1195.382,1203.715,312937800.0,3443180129.0
1998-01-21,1201.988,1209.689,1198.228,1200.203,303297200.0,2739035347.0
1998-01-22,1200.521,1207.451,1194.383,1204.43,436125400.0,4027799049.0
1998-01-23,1206.495,1224.122,1206.454,1222.913,358068400.0,3378707424.0
1998-02-09,1257.995,1262.623,1244.426,1248.04,435858400.0,4617527387.0
1998-02-10,1248.596,1248.596,1233.698,1236.513,532456300.0,4834391864.0
1998-02-11,1234.181,1251.453,1233.53,1250.238,481552000.0,4262613892.0
1998-02-12,1253.385,1254.411,1241.996,1246.295,474907700.0,4545818351.0
1998-02-13,1246.733,1251.912,1241.824,1245.911,409773500.0,4452571304.0
1998-02-16,1246.796,1247.965,1230.918,1236.236,461535800.0,4970755932.0
1998-02-17,1234.837,1240.579,1228.111,1238.5,352585900.0,3717914709.0
1998-02-18,1239.633,1240.178,1225.497,1229.831,461406700.0,4675451206.0
1998-02-19,1229.809,1235.493,1223.932,1232.584,330071400.0,3345370639.0
1998-02-20,1234.601,1237.915,1224.584,1226.02,315923400.0,3200611869.0
1998-02-23,1217.859,1217.859,1195.888,1208.603,380753300.0,3921520683.0
1998-02-24,1206.925,1216.353,1206.09,1208.218,352668400.0,3246038090.0
1998-02-25,1208.524,1209.491,1191.751,1194.673,342846700.0,3325572702.0
1998-02-26,1193.003,1206.674,1189.519,1206.674,314777500.0,3223861099.0
1998-02-27,1209.442,1213.729,1202.865,1206.53,358215000.0,3607948393.0
1998-03-02,1196.742,1205.746,1182.612,1188.306,484315500.0,4824057544.0
1998-03-03,1186.52,1201.8,1185.303,1201.789,356129700.0,3497563830.0
1998-03-04,1204.945,1214.003,1201.254,1213.253,359514800.0,4065636029.0
1998-03-05,1217.851,1219.284,1206.372,1207.541,322341900.0,3570224514.0
1998-03-06,1208.749,1208.978,1202.124,1206.452,308502000.0,3304971693.0
1998-03-09,1207.959,1208.616,1197.569,1200.834,309109400.0,3486186308.0
1998-03-10,1199.625,1205.832,1186.551,1199.832,298064400.0,3271175309.0
1998-03-11,1201.262,1210.525,1187.442,1190.037,365596600.0,4330453692.0
1998-03-12,1187.538,1188.282,1175.554,1178.97,250410000.0,2586090632.0
1998-03-13,1177.817,1184.961,1176.005,1184.961,233152800.0,2449195692.0
1998-03-16,1186.186,1188.617,1179.44,1188.482,301891100.0,3361364418.0
1998-03-17,1193.668,1202.839,1193.239,1202.835,373376000.0,4211386246.0000005
1998-03-18,1204.103,1204.741,1191.906,1193.909,362260800.0,4012765180.0
1998-03-19,1192.397,1195.829,1184.871,1188.715,335943800.0,3477551244.0
1998-03-20,1188.595,1192.323,1183.247,1187.501,278982400.0,2931556110.0
1998-03-23,1186.561,1186.861,1178.044,1179.869,361032200.0,3843850626.0
1998-03-24,1180.093,1194.056,1179.973,1194.017,351972500.0,3649985581.0
